year,month,artist,title,weeks,rank
2016,1,Adele,Hello,8,0
2016,1,Justin Bieber,Sorry,8,1
2016,1,Drake,Hotline Bling,20,2
2016,1,Justin Bieber,Love Yourself,5,3
2016,1,Justin Bieber,What Do You Mean?,16,4
2016,1,Selena Gomez,Same Old Love,14,5
2016,1,The Weeknd,The Hills,30,6
2016,1,Alessia Cara,Here,20,7
2016,1,Shawn Mendes,Stitches,30,8
2016,1,Meghan Trainor Featuring John Legend,Like I'm Gonna Lose You,24,9
2016,1,Fetty Wap Featuring Remy Boyz,679,25,10
2016,1,The Weeknd,In The Night,6,11
2016,1,Drake & Future,Jumpman,13,12
2016,1,Ellie Goulding,On My Mind,13,13
2016,1,The Weeknd,Can't Feel My Face,28,14
2016,1,Travis Scott,Antidote,15,15
2016,1,Elle King,Ex's & Oh's,24,16
2016,1,Mariah Carey,All I Want For Christmas Is You,13,17
2016,1,twenty one pilots,Stressed Out,13,18
2016,1,Bryson Tiller,Don't,12,19
2016,1,Thomas Rhett,Die A Happy Man,13,20
2016,1,Post Malone,White Iverson,15,21
2016,1,Taylor Swift,Wildest Dreams,17,22
2016,1,Jordan Smith,Mary Did You Know,1,23
2016,1,Major Lazer & DJ Snake Featuring MO,Lean On,37,24
2016,1,The Chainsmokers Featuring Rozes,Roses,9,25
2016,1,Silento,Watch Me,43,26
2016,1,Tory Lanez,Say It,9,27
2016,1,Cam,Burning House,23,28
2016,1,Demi Lovato,Confident,11,29
2016,1,Fetty Wap,Trap Queen,48,30
2016,1,One Direction,Perfect,9,31
2016,1,Ariana Grande,Focus,7,32
2016,1,Sam Hunt,Break Up In A Small Town,11,33
2016,1,Future Featuring Drake,Where Ya At,22,34
2016,1,J. Cole,No Role Modelz,18,35
2016,1,R. City Featuring Adam Levine,Locked Away,22,36
2016,1,Brenda Lee,Rockin' Around The Christmas Tree,14,37
2016,1,Skrillex & Diplo With Justin Bieber,Where Are U Now,42,38
2016,1,G-Eazy x Bebe Rexha,"Me, Myself & I",7,39
2016,1,Daya,Hide Away,13,40
2016,1,Wiz Khalifa Featuring Charlie Puth,See You Again,41,41
2016,1,Selena Gomez Featuring A$AP Rocky,Good For You,26,42
