Artist,Song Name,Total English Words,Total Korean Words,Total Words,% English,% Korean
(G)I-DLE,싫다고 말해 (Put It Straight),12,180,192,6.25,93.75
(G)I-DLE,싫다고 말해 (Put It Straight) [Nightmare Version],12,226,238,5.042016806722689,94.9579831932773
(G)I-DLE,들어줘요 (HEAR ME),15,192,207,7.246376811594203,92.7536231884058
(G)I-DLE,Show,17,119,136,12.5,87.5
(G)I-DLE,Tung-Tung (Empty),23,0,23,100.0,0.0
(G)I-DLE,화 (HWAA),25,147,172,14.534883720930234,85.46511627906976
(G)I-DLE,어린 어른 (Peter Pan),25,241,266,9.398496240601503,90.6015037593985
(G)I-DLE,火/花 (HWAA) (Chinese Version),28,0,28,100.0,0.0
(G)I-DLE,Reset,30,160,190,15.789473684210526,84.21052631578947
(G)I-DLE,DON’T TEXT ME,33,278,311,10.610932475884244,89.38906752411575
(G)I-DLE,Maybe,45,80,125,36.0,64.0
(G)I-DLE,주세요 (Give Me Your),46,215,261,17.624521072796934,82.37547892720306
(G)I-DLE,한 (寒) (HANN (Alone in winter)),68,95,163,41.717791411042946,58.282208588957054
(G)I-DLE,조각품 (Sculpture),77,147,224,34.375,65.625
(G)I-DLE,DARK (X-file),82,113,195,42.05128205128205,57.948717948717956
(G)I-DLE,Last Dance,83,198,281,29.537366548042705,70.46263345195729
(G)I-DLE,Where is love,96,106,202,47.524752475247524,52.475247524752476
(G)I-DLE,For You,97,0,97,100.0,0.0
(G)I-DLE,LOST,100,143,243,41.1522633744856,58.8477366255144
(G)I-DLE,사랑해 (Luv U),101,139,240,42.083333333333336,57.91666666666667
(G)I-DLE,DAHLIA,119,146,265,44.905660377358494,55.094339622641506
(G)I-DLE,LION,119,197,316,37.65822784810127,62.34177215189873
(G)I-DLE,MAZE,120,166,286,41.95804195804196,58.04195804195804
(G)I-DLE,Uh-Oh,122,192,314,38.853503184713375,61.146496815286625
(G)I-DLE,덤디덤디 (DUMDi DUMDi),124,180,304,40.78947368421053,59.210526315789465
(G)I-DLE,한(一) (HANN (Alone)),131,219,350,37.42857142857143,62.57142857142857
(G)I-DLE,Oh my god,133,154,287,46.34146341463415,53.65853658536586
(G)I-DLE,LATATA,139,170,309,44.983818770226534,55.016181229773466
(G)I-DLE,Lucid,155,85,240,64.58333333333334,35.41666666666667
(G)I-DLE,MOON,158,76,234,67.52136752136752,32.47863247863248
(G)I-DLE,DUMDi DUMDi (Chinese Version),163,0,163,100.0,0.0
(G)I-DLE,Senorita,166,127,293,56.655290102389074,43.344709897610926
(G)I-DLE,Paradise,176,117,293,60.068259385665534,39.93174061433447
(G)I-DLE,What’s Your Name,180,198,378,47.61904761904761,52.38095238095239
(G)I-DLE,ESCAPE,181,132,313,57.82747603833865,42.17252396166134
(G)I-DLE,FIRE,192,259,451,42.572062084257205,57.42793791574279
(G)I-DLE,말리지 마 (Never Stop Me),197,85,282,69.8581560283688,30.141843971631204
(G)I-DLE,VILLAIN DIES,199,79,278,71.58273381294964,28.41726618705036
(G)I-DLE,Blow Your Mind,200,87,287,69.68641114982579,30.313588850174217
(G)I-DLE,ALREADY,204,103,307,66.44951140065146,33.55048859934853
(G)I-DLE,달려! (Relay!),216,172,388,55.670103092783506,44.329896907216494
(G)I-DLE,Help Me,221,142,363,60.88154269972452,39.11845730027548
(G)I-DLE,Ninety Nine,223,0,223,100.0,0.0
(G)I-DLE,퀸카 (Queencard),226,98,324,69.75308641975309,30.246913580246915
(G)I-DLE,All Night,231,56,287,80.48780487804879,19.51219512195122
(G)I-DLE,LIAR,231,66,297,77.77777777777779,22.22222222222222
(G)I-DLE,Nxde,233,115,348,66.95402298850574,33.04597701149425
(G)I-DLE,POLAROID,234,64,298,78.52348993288591,21.476510067114095
(G)I-DLE,달라 (DOLLAR) ($$$),242,177,419,57.756563245823386,42.243436754176614
(G)I-DLE,​i’M THE TREND,254,116,370,68.64864864864865,31.351351351351354
(G)I-DLE,Allergy,257,74,331,77.64350453172206,22.356495468277945
(G)I-DLE,Light My Fire,267,0,267,100.0,0.0
(G)I-DLE,I DO,273,0,273,100.0,0.0
(G)I-DLE,LOVE,292,94,386,75.64766839378238,24.352331606217618
(G)I-DLE,알고 싶어 (What’s in your house?),319,128,447,71.36465324384787,28.635346756152124
(G)I-DLE,MY BAG,332,102,434,76.49769585253456,23.502304147465438
(G)I-DLE,TOMBOY,352,58,410,85.85365853658537,14.146341463414632
(G)I-DLE,TOMBOY (Explicit Version),354,57,411,86.13138686131386,13.86861313868613
(G)I-DLE,Change,369,29,398,92.71356783919597,7.2864321608040195
AESPA,Forever (약속),40,150,190,21.052631578947366,78.94736842105263
AESPA,We Go,87,167,254,34.25196850393701,65.74803149606299
AESPA,’Til We Meet Again,124,140,264,46.96969696969697,53.03030303030303
AESPA,Girls,154,194,348,44.252873563218394,55.74712643678161
AESPA,ænergy,159,39,198,80.3030303030303,19.696969696969695
AESPA,Black Mamba,160,111,271,59.040590405904055,40.959409594095945
AESPA,Don’t Blink,173,137,310,55.80645161290323,44.193548387096776
AESPA,ICU (쉬어가도 돼),173,126,299,57.859531772575245,42.14046822742475
AESPA,자각몽 (Lucid Dream),180,242,422,42.65402843601896,57.345971563981045
AESPA,Lingo,184,135,319,57.68025078369906,42.31974921630094
AESPA,Life’s Too Short,192,144,336,57.14285714285714,42.857142857142854
AESPA,I’m Unhappy,197,113,310,63.54838709677419,36.45161290322581
AESPA,도깨비불 (Illusion),216,156,372,58.06451612903226,41.935483870967744
AESPA,Next Level,218,153,371,58.760107816711596,41.23989218328841
AESPA,Thirsty,236,166,402,58.70646766169154,41.29353233830846
AESPA,YEPPI YEPPI,237,184,421,56.294536817102134,43.705463182897866
AESPA,Welcome To MY World,240,88,328,73.17073170731707,26.82926829268293
AESPA,2022 United Nations General Assembly Speech,246,1,247,99.59514170040485,0.4048582995951417
AESPA,Dreams Come True,282,107,389,72.49357326478149,27.506426735218508
AESPA,ICONIC,284,147,431,65.89327146171694,34.106728538283065
AESPA,Salty & Sweet,284,100,384,73.95833333333334,26.041666666666668
AESPA,I’ll Make You Cry,311,156,467,66.59528907922912,33.40471092077088
